dataset,seed,method,perturbation,split,pearson,pearson_delta,l2,approach,label
norman_from_scfoundation,1,scgpt,KLF1+BAK1,test,0.9915101618417034,0.03964821611938625,4.305138477215008,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,KLF1+CLDN6,test,0.9875273011474337,0.6073160028192667,4.612212932579482,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,KLF1+COL2A1,test,0.9872055631982618,0.2722726333044621,4.662230611623864,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,KLF1+FOXA1,val,0.9925788520499725,0.4488515700375469,3.699090862797486,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,LYL1+CEBPB,test,0.9949161186274524,0.6979338748723283,3.03182868052142,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,MAP2K3+IKZF3,val,0.9848288097753394,0.5461115454708678,5.047047451724278,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,MAP2K6+IKZF3,test,0.9838752188766364,0.5734926631267809,5.197423339488633,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,MAPK1+IKZF3,val,0.9857988109099695,0.6406699723809571,4.939232459862892,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,PLK4+STIL,test,0.9933493490008262,0.5470522763416111,3.455841303871329,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,POU3F2+FOXL2,val,0.9861685362139632,0.6953232233212663,5.254013036822553,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,PRDM1+CBFA2T3,test,0.9744219691036444,0.6912266070898865,7.332364004865435,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,PTPN12+ZBTB25,test,0.9889624034642637,0.6558104372996854,4.77006433818901,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,RHOXF2+SET,test,0.98583748079241,0.6262644821431187,5.737289280928639,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,RHOXF2+ZBTB25,test,0.9871357417516664,0.7171935436030192,5.531836932517987,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,SAMD1+TGFBR2,test,0.9932270805741141,0.6676587662959812,3.639179609038821,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,SAMD1+UBASH3B,val,0.9899213505764541,0.7535593620619598,4.979851456491364,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,SGK1+S1PR2,test,0.9901772361605218,0.7488575367491087,4.561243486193731,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,SNAI1+DLX2,val,0.9840766002989147,0.6360416425886303,6.180177693935962,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,TGFBR2+ETS2,val,0.996130434854207,0.1608825739343777,2.915694704827483,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,TGFBR2+PRTG,val,0.9933875519720808,0.6142595711456001,3.407845797964234,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,UBASH3B+CNN1,val,0.9824946610426865,0.6630091993846441,6.244781349594229,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,UBASH3B+PTPN12,test,0.989362139771082,0.6484228827555991,4.625107452236643,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,ZBTB10+PTPN12,test,0.9894219936868807,0.6733557234464965,4.688099533932958,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,ZBTB10+SNAI1,val,0.9712046477538462,0.5475508007261979,7.816425500987279,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,ZC3HAV1+CEBPA,test,0.9746828437757559,0.4577980172250255,7.146157785252062,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,ZC3HAV1+HOXC13,val,0.9956983454831595,0.5580711187629284,2.772205113204509,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,gears,AHR+FEV,test,0.9729715574445159,0.5613872788764789,6.886628296945043,deep_learning,GEARS|Other Deep Learning Models
